"ID","Condition","Age","Gender","Time","Beep_Time","Button_Estimate_","Written_Estimate_","Phase"
6,3,22,"female",7,3,1.53219689999241,4,"effect"
6,3,22,"female",8,6,4.28128000001016,8,"effect"
6,3,22,"female",9,5,4.33195720000367,7,"effect"
6,3,22,"female",10,2,1.61551189998863,3,"effect"
6,3,22,"female",11,9,4.96410050000122,7,"effect"
6,3,22,"female",12,4,3.63098539999919,6,"effect"
7,1,18,"other",1,5,5.86374950000027,5,"baseline"
7,1,18,"other",2,3,3.31542499999341,4,"baseline"
7,1,18,"other",3,9,8.27953620000335,8,"baseline"
7,1,18,"other",4,4,3.23273899999913,4,"baseline"
7,1,18,"other",5,2,1.38222150001093,2,"baseline"
7,1,18,"other",6,7,5.84693329999573,5,"baseline"
7,1,18,"other",7,3,4.16548309999052,5,"effect"
7,1,18,"other",8,6,4.84775520001131,6,"effect"
7,1,18,"other",9,5,4.86435089999577,5,"effect"
7,1,18,"other",10,2,1.4983607000031,2,"effect"
7,1,18,"other",11,9,8.32869359999313,7,"effect"
7,1,18,"other",12,4,3.38191999999981,3,"effect"
8,2,21,"male",1,5,5.24729749999824,7,"baseline"
8,2,21,"male",2,3,2.64856549999968,3,"baseline"
8,2,21,"male",3,9,9.49510309999459,12,"baseline"
8,2,21,"male",4,4,3.53154650000215,5,"baseline"
8,2,21,"male",5,2,1.41561130000628,2,"baseline"
8,2,21,"male",6,7,7.08036169999104,8,"baseline"
8,2,21,"male",7,3,3.26487080000516,5,"effect"
8,2,21,"male",8,6,5.59691910000402,7,"effect"
8,2,21,"male",9,5,4.69748519999848,6,"effect"
8,2,21,"male",10,2,1.39958450000267,2,"effect"
8,2,21,"male",11,9,9.22926399999415,12,"effect"
8,2,21,"male",12,4,3.11542539999937,5,"effect"
9,3,23,"female",1,5,5.19769180000003,5,"baseline"
9,3,23,"female",2,3,2.31559359999665,3,"baseline"
9,3,23,"female",3,9,8.22977160000301,8,"baseline"
9,3,23,"female",4,4,3.11516250000568,4,"baseline"
9,3,23,"female",5,2,1.59871540000313,2,"baseline"
9,3,23,"female",6,7,6.72996509999211,7,"baseline"
9,3,23,"female",7,3,3.66463499999372,4,"effect"
9,3,23,"female",8,6,4.96487660000275,5,"effect"
9,3,23,"female",9,5,4.98196499999904,5,"effect"
9,3,23,"female",10,2,1.26577450000332,2,"effect"
9,3,23,"female",11,9,8.31317329999001,8,"effect"
9,3,23,"female",12,4,3.43205059999309,4,"effect"
